Country_Code,Country_Name,Region,Income_Group,GDP_per_capita,Life_Expectancy,Child_Mortality,Access_Electricity,Health_Expenditure_Pct,Inflation_Rate,Trade_Pct_GDP,Internet_Usage_Pct,Log_GDP_per_capita,Income_Group_Code,Cluster
CYP,Cyprus,Europe & Central Asia,High income,29227.16796875,81.454,3.0,100.0,6.99843168,0.2503709967584932,150.50616312950956,86.0636299618935,4.46580159448855,3,2
ECU,Ecuador,Latin America & Caribbean,Upper middle income,6205.057652467664,77.286,13.8,99.1,7.80878448,0.2660125154661552,48.082849493330734,59.2,3.7928158057361063,2,0
BRA,Brazil,Latin America & Caribbean,Upper middle income,9029.833266810732,75.809,15.0,99.8,9.61449146,3.732976212168936,28.89025786989636,73.9124399133589,3.955727824121039,2,0
FRA,France,Europe & Central Asia,High income,40408.28485747505,82.8268292682927,4.2,100.0,11.17058277,1.108254922882936,66.42896072817493,83.3397440866883,4.606481164592596,3,2
BGD,Bangladesh,South Asia,Lower middle income,2129.7989695460574,72.625,32.3,92.2,2.12712646,5.591996399306291,31.578054491240422,30.38310051,3.3285424780881208,1,0
CHL,Chile,Latin America & Caribbean,High income,14496.934564036184,80.324,7.0,100.0,9.30968475,2.557544757033266,57.60691578565367,85.01760101,4.16130613524639,3,2
MAF,St. Martin (French part),Latin America & Caribbean,High income,19033.06496348889,80.078,15.0,100.0,6.88792992,2.25212191358027,67.10304836644916,66.48885468623226,4.2795315472301745,3,0
LTU,Lithuania,Europe & Central Asia,High income,19608.794394555272,76.28292682926829,3.9,100.0,6.94472647,2.334509379880265,148.37499601181847,81.5818683764046,4.292473040185978,3,2
MNP,Northern Mariana Islands,East Asia & Pacific,High income,24496.6652122421,77.844,20.0,100.0,4.99218798,1.7143709576340114,104.74978795589482,63.6493903087575,4.389124695231558,3,0
NOR,Norway,Europe & Central Asia,High income,79329.30751900119,82.95853658536586,2.4,100.0,10.43807507,2.167730033054107,68.88024310573198,98.0000043853142,4.899439137804978,3,2
PAK,Pakistan,Middle East & North Africa,Lower middle income,1390.416909817447,66.729,65.8,93.9,2.84736943,10.57803056720248,28.905576986703235,17.070901719916,3.1434572770119877,1,1
MKD,North Macedonia,Europe & Central Asia,Upper middle income,6718.858266354576,76.60243902439025,7.1,100.0,7.06654119,0.7664395734598047,138.5762318405389,81.4128827618364,3.8273601131149495,2,2
UKR,Ukraine,Europe & Central Asia,Upper middle income,3619.86157226563,73.92,8.5,100.0,7.09389353,7.886717456111332,90.51123429107628,70.1248442995263,3.5588119217928895,2,0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,811.2100040500414,62.161,79.5,30.9,7.14602089,0.2466002681478295,49.943905496502005,17.92149925,2.9096683344238685,0,1
SGP,Singapore,East Asia & Pacific,High income,66068.70031063778,83.59512195121953,2.5,100.0,4.40746737,0.5678299884054472,324.2700885766248,88.9492526850762,4.82000233687141,3,2
DNK,Denmark,Europe & Central Asia,High income,59404.266324772296,81.45121951219514,3.8,100.0,10.18468761,0.7581315725116201,111.89147506565256,98.0464347521549,4.773824947243943,3,2
GMB,"Gambia, The",Sub-Saharan Africa,Low income,738.1867519874828,64.427,50.4,62.1,3.14534926,7.115676256311922,55.99791161869933,31.11829948,2.8687541746754017,0,1
PRI,Puerto Rico (US),Latin America & Caribbean,High income,31830.528499335844,81.438,15.0,100.0,6.88792992,2.25212191358027,107.57145683672226,77.7364393708352,4.502857493251513,3,2
BDI,Burundi,Sub-Saharan Africa,Low income,234.31061590724977,62.18,56.2,9.8,9.05940628,-0.6867721707973587,60.408692875322615,6.072199821,2.3716415205714267,0,1
LIE,Liechtenstein,Europe & Central Asia,High income,166907.83930501563,84.16097560975611,4.05,100.0,5.78483772,1.763735865288415,96.18156500978648,93.14610291,5.222479337037182,3,2
CHE,Switzerland,Europe & Central Asia,High income,85872.97023034544,83.90487804878049,4.0,100.0,11.42588997,0.3628861799406741,123.02250983286407,93.1460869535177,4.933861542196165,3,2
MMR,Myanmar,East Asia & Pacific,Lower middle income,1425.9895421190286,66.457,43.6,68.3,3.814466,8.825066968045581,101.55318493454511,36.54050064,3.1544207903419483,1,1
GEO,Georgia,Europe & Central Asia,Upper middle income,4741.283271587601,74.165,9.6,100.0,7.31291389,4.852898216967227,117.81008023971364,68.8467135616978,3.675987492200798,2,0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,7172.089564800282,67.167,40.0,70.1,6.12193203,2.772864428633207,83.09298136011748,48.82279968,3.855706253567306,2,0
NRU,Naoero,East Asia & Pacific,High income,10801.770565963465,61.393,12.0,100.0,11.56155682,1.7143709576340114,155.90668571428571,74.73789978,4.033535152449909,3,2
CHI,Channel Islands,Europe & Central Asia,High income,60564.62939936814,81.2,4.05,100.0,7.10601497,1.763735865288415,96.18156500978648,82.2598911708476,4.782226234778991,3,2
ITA,Italy,Europe & Central Asia,High income,33812.788724867976,83.49756097560977,3.1,100.0,8.61536789,0.611246943765304,58.69419025947376,67.8507102874836,4.5290938347739935,3,2
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,4380.781173311284,75.449,14.1,91.4,4.82431316,1.106666742960629,103.60265646372568,61.9433977593088,3.641650685046595,2,0
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,3189.812864961828,53.009,117.4,55.4,2.98547053,11.39642233781149,60.408692875322615,29.74410057,3.5039013344042225,1,1
TGO,Togo,Sub-Saharan Africa,Lower middle income,917.7180167776186,61.061,66.0,52.5,5.91268635,0.674652770077525,56.3398500747576,20.72730064,2.963182233312639,1,1
BEN,Benin,Sub-Saharan Africa,Lower middle income,1130.8213533979497,59.888,87.0,40.0,3.00206876,0.7328493712410664,63.68133231422999,20.50099945,3.053777883251384,1,1
BRB,Barbados,Latin America & Caribbean,High income,21929.435611489047,76.495,11.4,100.0,5.67476797,1.676624732769876,67.10304836644916,70.30709839,4.341047258297999,3,0
CRI,Costa Rica,Latin America & Caribbean,High income,12951.858842184089,80.296,9.1,99.7,7.2212491,2.09604635327807,65.41947324867749,81.2025964435269,4.11236563269216,3,2
NPL,Nepal,South Asia,Lower middle income,1203.142947064013,69.299,31.0,89.9,4.44524717,5.566160352437225,49.24952658690116,33.33660126,3.0806780462540737,1,0
HND,Honduras,Latin America & Caribbean,Lower middle income,2502.327443280727,72.124,17.7,91.1,7.34316635,4.365871598192737,99.45953524524168,39.3883521850111,3.398517660438825,1,0
PRK,"Korea, Democratic People’s Republic of",East Asia & Pacific,Low income,6723.885011876779,72.928,17.7,48.4,4.99218798,1.7143709576340114,101.55318493454511,63.6493903087575,3.827684862780863,0,0
GIB,Gibraltar,Europe & Central Asia,High income,23343.36289700344,83.183,4.05,100.0,7.10601497,1.763735865288415,96.18156500978648,82.2598911708476,4.368182025874817,3,2
